Lat,Lon,MAT,SpringT,SOS,ST
40.1412,116.0578,4.887689,12.49691358,105.9866667,0.054898078
40.1502,116.0578,5.732043279,13.11728395,120.3758824,-4.266034014
40.1861,116.0578,6.034026911,13.18765432,149.3877778,-2.287621656
39.6112,116.0668,6.921063948,13.95246914,112.4577778,-5.423648649
39.6471,116.0668,6.871591067,14.09876543,134.6422222,-3.25789073
39.6561,116.0668,6.871591067,14.09876543,142.2577778,-6.159247262
39.6651,116.0668,6.857414343,14.06049383,140.8055556,-3.136982584
39.6741,116.0668,6.826522403,14.04444444,138.5988889,-2.723455216
39.719,116.0668,6.751158274,14.01111111,143.5955556,-8.721415539
39.728,116.0668,6.789533916,14.01111111,154.2622222,-4.731357711
39.737,116.0668,6.799354973,13.98333333,152.9255556,-0.102698827
39.746,116.0668,6.672138993,13.79135802,149.8027778,-6.389735855
39.7549,116.0668,6.672138993,13.79135802,146.4272222,-5.020273735
39.7639,116.0668,6.57457345,13.80864198,134.3566667,-4.036052624
39.7729,116.0668,6.507927591,13.77654321,145.6977778,-1.732440533
39.7909,116.0668,6.045366902,13.38395062,141.5661111,3.490753812
39.7999,116.0668,6.153391594,13.41234568,122.0572222,-3.056207456
39.8088,116.0668,6.552940768,13.62345679,131.625,-5.012549301
39.8178,116.0668,6.604785685,13.6382716,152.75,-2.142513185
39.8268,116.0668,6.481176307,13.57222222,147.2805556,-6.739312464
39.8358,116.0668,6.174219725,13.27160494,131.9,-4.98046064
39.9256,116.0668,5.851227632,13.33024691,128.2,-2.80060267
39.9346,116.0668,6.003779997,13.27716049,136.8688889,-0.989489871
39.9436,116.0668,5.257587738,12.47777778,129.5084615,-4.058955593
39.9795,116.0668,5.623241781,13.01049383,124.9505556,-3.021611066
39.9885,116.0668,5.896969066,13.22777778,140.8894444,-6.057147639
40.0694,116.0668,1.055701207,8.037037037,115.67,-4.37144093
40.1233,116.0668,4.234207241,11.50246914,114.6817647,-3.123727382
40.1322,116.0668,3.637571092,11.10617284,115.1776471,-4.200392914
40.1412,116.0668,4.733909003,12.43765432,112.3217647,-2.365783982
40.1682,116.0668,6.194076848,13.32098765,146.6855556,-8.617145172
40.1861,116.0668,6.082889444,13.23148148,140.3576471,0.069710008
40.1951,116.0668,6.044499931,13.20802469,145.5038889,-2.693948467
39.6112,116.0758,6.936537661,13.94567901,114.3544444,-2.630148829
39.6202,116.0758,7.023019836,14.02037037,126.3861111,-6.934965007
39.6292,116.0758,6.957559994,13.98703704,116.7055556,-0.795146827
39.6382,116.0758,6.796296296,13.98518519,147.0827778,0.888343435
39.6471,116.0758,6.845096407,14.02962963,129.5794444,-3.549305563
39.6561,116.0758,6.845096407,14.02962963,133.3361111,-3.53704622
39.6651,116.0758,6.899417395,14.08765432,136.7955556,-4.848672622
39.6741,116.0758,6.861118047,14.03271605,110.0794444,-5.302234756
39.6921,116.0758,6.855604106,13.95555556,143.5972222,-5.469933733
39.701,116.0758,6.734519351,13.97037037,140.2755556,-5.297357504
39.719,116.0758,6.732660563,14.00925926,141.5833333,-3.545230024
39.728,116.0758,6.756165904,14.00246914,145.5916667,-4.978470362
39.737,116.0758,6.732084894,13.92777778,149.7027778,-4.796784732
39.746,116.0758,6.677680677,13.77839506,141.6188889,-12.49655061
39.7549,116.0758,6.677680677,13.77839506,147.28,-8.036299075
39.7639,116.0758,6.688784852,13.85617284,151.9444444,-3.277598422
39.7729,116.0758,6.507927591,13.77654321,145.6616667,-3.846200763
39.7819,116.0758,6.343078097,13.67901235,153.0744444,-3.741593551
39.8088,116.0758,6.580135941,13.62037037,141.415,-4.561968714
39.8178,116.0758,6.580718546,13.58271605,136.7105556,-0.608478556
39.8268,116.0758,6.601061174,13.63641975,155.2344444,-4.883861477
39.8538,116.0758,4.905583299,12.35864198,125.2838462,-3.212445731
39.8807,116.0758,5.314454155,12.90246914,127.5127778,-1.413515277
39.8897,116.0758,4.819080316,12.22283951,118.2972727,-1.610930461
39.9166,116.0758,5.374968789,12.88580247,131.8688889,-2.681549467
